LSOA Code and Name,Population
E01000248 : Barnet 001A,6288.8
E01000249 : Barnet 001B,1984.3
E01000250 : Barnet 001C,4485.9
E01000254 : Barnet 001D,1047.9
E01000292 : Barnet 001E,5366.4
E01000293 : Barnet 001F,6476.6
E01000167 : Barnet 002A,2308.1
E01000246 : Barnet 002B,1412.1
E01000247 : Barnet 002C,6380.7
E01000251 : Barnet 002D,10143.5
E01000252 : Barnet 002E,7301
E01000166 : Barnet 003A,4381.9
E01000168 : Barnet 003B,4829.6
E01000169 : Barnet 003C,6838.6
E01000172 : Barnet 003D,3107.8
E01000285 : Barnet 004A,7486.4
E01000287 : Barnet 004B,5963.4
E01000288 : Barnet 004C,4587.5
E01000289 : Barnet 004D,5629.4
E01000291 : Barnet 004E,6254
E01000294 : Barnet 004F,5469.6
E01000267 : Barnet 005A,5463.3
E01000268 : Barnet 005B,8221.1
E01000269 : Barnet 005C,5103.1
E01000270 : Barnet 005D,6131
E01000170 : Barnet 006A,6428.3
E01000171 : Barnet 006B,6873.9
E01000173 : Barnet 006C,4621.3
E01000174 : Barnet 006D,9336.5
E01000175 : Barnet 006E,4055.5
E01000228 : Barnet 007A,497.6
E01000253 : Barnet 007B,597.2
E01000279 : Barnet 007C,270.7
E01000280 : Barnet 007D,1315.8
E01000286 : Barnet 007E,6378.2
E01000290 : Barnet 007F,791.7
E01000271 : Barnet 008A,4788.1
E01000272 : Barnet 008B,3036.6
E01000273 : Barnet 008C,5069.8
E01000281 : Barnet 008D,6645.6
E01000282 : Barnet 008E,3419.7
E01000115 : Barnet 009A,5091.2
E01000116 : Barnet 009B,7116.6
E01000119 : Barnet 009C,4511.8
E01000120 : Barnet 009D,6099.6
E01000122 : Barnet 009E,6404.1
E01000117 : Barnet 010A,5241.5
E01000118 : Barnet 010B,7187
E01000121 : Barnet 010C,3924
E01000123 : Barnet 010D,3341.6
E01000124 : Barnet 010E,7301.5
E01000265 : Barnet 011A,9117.6
E01000266 : Barnet 011B,2235.7
E01000274 : Barnet 011C,7245.5
E01000320 : Barnet 011D,8289.8
E01000322 : Barnet 011E,9086
E01000275 : Barnet 012A,5255.2
E01000277 : Barnet 012B,8929.7
E01000283 : Barnet 012C,4148.3
E01000284 : Barnet 012D,6543.5
E01000321 : Barnet 012E,11199.3
E01000195 : Barnet 013A,6405.5
E01000229 : Barnet 013B,5968.5
E01000230 : Barnet 013C,7212.8
E01000231 : Barnet 013D,4895.9
E01000232 : Barnet 013E,6270.1
E01000233 : Barnet 013F,7321.5
E01000186 : Barnet 014A,6947.8
E01000187 : Barnet 014B,8052.9
E01000188 : Barnet 014C,494.8
E01000189 : Barnet 014D,15240.7
E01000190 : Barnet 014E,6974.2
E01000191 : Barnet 014F,6091.2
E01000158 : Barnet 015A,5414.2
E01000159 : Barnet 015B,3620.5
E01000160 : Barnet 015C,6462.8
E01000161 : Barnet 015D,8387.6
E01000162 : Barnet 015E,9045.5
E01000324 : Barnet 015F,6746.5
E01000256 : Barnet 016A,3431.2
E01000258 : Barnet 016B,2370.6
E01000263 : Barnet 016C,3878.4
E01000264 : Barnet 016D,4813.8
E01000255 : Barnet 017A,1591.8
E01000257 : Barnet 017B,3073.1
E01000261 : Barnet 017C,1476.5
E01033911 : Barnet 017E,941.4
E01033912 : Barnet 017F,7939.4
E01000192 : Barnet 018A,7031.7
E01000193 : Barnet 018B,6410
E01000194 : Barnet 018C,5734.1
E01000226 : Barnet 018D,10028.9
E01000227 : Barnet 018E,7306.5
E01000299 : Barnet 019A,13432.2
E01000300 : Barnet 019B,9608.1
E01000302 : Barnet 019C,8280.3
E01000317 : Barnet 019D,9273.2
E01000318 : Barnet 019E,7069.4
E01000323 : Barnet 019F,11050.4
E01000276 : Barnet 020A,2999.2
E01000278 : Barnet 020B,5361.4
E01000301 : Barnet 020C,5236.4
E01000303 : Barnet 020D,6937.6
E01000304 : Barnet 020E,8766.9
E01000130 : Barnet 021A,11325.9
E01000132 : Barnet 021B,10534.2
E01000133 : Barnet 021C,10572
E01000234 : Barnet 021D,6445.9
E01000235 : Barnet 021E,5307.9
E01000156 : Barnet 022A,11255.6
E01000157 : Barnet 022B,12565.5
E01000163 : Barnet 022C,8834.9
E01000164 : Barnet 022D,3129.2
E01000165 : Barnet 022E,9784
E01000315 : Barnet 022F,3361
E01000197 : Barnet 023A,6682.3
E01000295 : Barnet 023B,7908.9
E01000296 : Barnet 023C,7979.4
E01000298 : Barnet 023D,6432.3
E01000127 : Barnet 024B,7761.7
E01000128 : Barnet 024C,8302.3
E01000129 : Barnet 024D,9336.4
E01000131 : Barnet 024E,6013.1
E01000134 : Barnet 024F,11442.9
E01033913 : Barnet 024G,9526.5
E01033914 : Barnet 024H,12316.6
E01000198 : Barnet 025A,6659.6
E01000199 : Barnet 025B,4673.2
E01000204 : Barnet 025C,5374.4
E01000259 : Barnet 025D,2058.3
E01000260 : Barnet 025E,2653.4
E01000126 : Barnet 026A,14080.5
E01000151 : Barnet 026B,12102.7
E01000152 : Barnet 026C,14564.6
E01000153 : Barnet 026D,11690.9
E01000154 : Barnet 026E,14216.8
E01000176 : Barnet 027A,7834.4
E01000178 : Barnet 027B,4005.3
E01000184 : Barnet 027C,2730.3
E01000297 : Barnet 027D,6127.6
E01000316 : Barnet 027E,5627.5
E01000319 : Barnet 027F,8817.6
E01000196 : Barnet 028A,8641.2
E01000200 : Barnet 028B,7115.1
E01000201 : Barnet 028C,3913.2
E01000202 : Barnet 028D,7402.7
E01000203 : Barnet 028E,6040
E01000177 : Barnet 029A,9840.2
E01000179 : Barnet 029B,12475.6
E01000180 : Barnet 029C,9466.9
E01000181 : Barnet 029D,11787.7
E01000182 : Barnet 029E,7385.9
E01000185 : Barnet 029F,11925.6
E01000239 : Barnet 031A,4811.8
E01000240 : Barnet 031B,3916.9
E01000241 : Barnet 031C,5263.5
E01000309 : Barnet 031D,7065.1
E01000237 : Barnet 032A,6471.5
E01000242 : Barnet 032B,5790.2
E01000243 : Barnet 032C,11785.5
E01000244 : Barnet 032D,7325.6
E01000245 : Barnet 032E,11358.4
E01000314 : Barnet 032F,8632.9
E01000183 : Barnet 033A,6580.2
E01000206 : Barnet 033B,1136.1
E01000207 : Barnet 033C,4554.4
E01000208 : Barnet 033D,4003.4
E01000210 : Barnet 033E,3119.1
E01000213 : Barnet 033F,3180.3
E01000236 : Barnet 034A,8509.2
E01000238 : Barnet 034B,9928.9
E01000310 : Barnet 034C,7194.9
E01000311 : Barnet 034D,5074.5
E01000205 : Barnet 035A,3959
E01000209 : Barnet 035B,3694.6
E01000211 : Barnet 035C,7760.8
E01000212 : Barnet 035D,3872.9
E01000216 : Barnet 035E,10143.6
E01000217 : Barnet 035F,8317.8
E01000150 : Barnet 036A,4852.6
E01000305 : Barnet 036B,2352.3
E01000306 : Barnet 036C,13444.7
E01000308 : Barnet 036D,3989.4
E01000312 : Barnet 036E,12060
E01000313 : Barnet 036F,8712.2
E01000145 : Barnet 037A,7798.2
E01000215 : Barnet 037B,9808
E01000218 : Barnet 037C,12155.6
E01000219 : Barnet 037D,11485.4
E01000220 : Barnet 037E,12309.2
E01000225 : Barnet 037F,6020.6
E01000135 : Barnet 038A,5140.6
E01000136 : Barnet 038B,2854.9
E01000144 : Barnet 038C,8379.6
E01000146 : Barnet 038D,9061
E01000214 : Barnet 038E,4911
E01000141 : Barnet 039A,5029.7
E01000221 : Barnet 039B,3348.4
E01000223 : Barnet 039C,3731.9
E01000307 : Barnet 039D,3297.4
E01000138 : Barnet 040A,6187.4
E01000142 : Barnet 040B,11208
E01000222 : Barnet 040C,4899
E01000224 : Barnet 040D,10542.1
E01000137 : Barnet 041A,13479.7
E01000139 : Barnet 041B,3954.4
E01000140 : Barnet 041C,13422.5
E01000143 : Barnet 041D,9575.9
E01033915 : Barnet 042A,8146.9
E01033916 : Barnet 042B,11882.9
E01033917 : Barnet 042C,46146.8
E01033918 : Barnet 042D,14455.8
E01033919 : Barnet 042E,22681.7
E01033920 : Barnet 042F,9098
E01033921 : Barnet 043A,43552.6
E01033922 : Barnet 043B,16712.3
E01033923 : Barnet 043C,16659.6
E01033924 : Barnet 043D,10997.2
E01033925 : Barnet 043E,6282.2
E01000147 : Barnet 043F,9456.3
